wavelength,RSR_Rrs_412,RSR_Rrs_443,RSR_Rrs_490,RSR_Rrs_532,RSR_Rrs_551,RSR_Rrs_667
407,1.0,,,,,
408,1.0,,,,,
409,1.0,,,,,
410,1.0,,,,,
411,1.0,,,,,
412,1.0,,,,,
413,1.0,,,,,
414,1.0,,,,,
415,1.0,,,,,
416,1.0,,,,,
417,1.0,,,,,
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,
423,,,,,,
424,,,,,,
425,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
429,,,,,,
430,,,,,,
431,,,,,,
432,,,,,,
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,1.0,,,,
439,,1.0,,,,
440,,1.0,,,,
441,,1.0,,,,
442,,1.0,,,,
443,,1.0,,,,
444,,1.0,,,,
445,,1.0,,,,
446,,1.0,,,,
447,,1.0,,,,
448,,1.0,,,,
449,,,,,,
450,,,,,,
451,,,,,,
452,,,,,,
453,,,,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,,,,,,
473,,,,,,
474,,,,,,
475,,,,,,
476,,,,,,
477,,,,,,
478,,,,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,,,1.0,,,
486,,,1.0,,,
487,,,1.0,,,
488,,,1.0,,,
489,,,1.0,,,
490,,,1.0,,,
491,,,1.0,,,
492,,,1.0,,,
493,,,1.0,,,
494,,,1.0,,,
495,,,1.0,,,
496,,,,,,
497,,,,,,
498,,,,,,
499,,,,,,
500,,,,,,
501,,,,,,
502,,,,,,
503,,,,,,
504,,,,,,
505,,,,,,
506,,,,,,
507,,,,,,
508,,,,,,
509,,,,,,
510,,,,,,
511,,,,,,
512,,,,,,
513,,,,,,
514,,,,,,
515,,,,,,
516,,,,,,
517,,,,,,
518,,,,,,
519,,,,,,
520,,,,,,
521,,,,,,
522,,,,,,
523,,,,,,
524,,,,,,
525,,,,,,
526,,,,,,
527,,,,1.0,,
528,,,,1.0,,
529,,,,1.0,,
530,,,,1.0,,
531,,,,1.0,,
532,,,,1.0,,
533,,,,1.0,,
534,,,,1.0,,
535,,,,1.0,,
536,,,,1.0,,
537,,,,1.0,,
538,,,,,,
539,,,,,,
540,,,,,,
541,,,,,,
542,,,,,,
543,,,,,,
544,,,,,,
545,,,,,,
546,,,,,1.0,
547,,,,,1.0,
548,,,,,1.0,
549,,,,,1.0,
550,,,,,1.0,
551,,,,,1.0,
552,,,,,1.0,
553,,,,,1.0,
554,,,,,1.0,
555,,,,,1.0,
556,,,,,1.0,
557,,,,,,
558,,,,,,
559,,,,,,
560,,,,,,
561,,,,,,
562,,,,,,
563,,,,,,
564,,,,,,
565,,,,,,
566,,,,,,
567,,,,,,
568,,,,,,
569,,,,,,
570,,,,,,
571,,,,,,
572,,,,,,
573,,,,,,
574,,,,,,
575,,,,,,
576,,,,,,
577,,,,,,
578,,,,,,
579,,,,,,
580,,,,,,
581,,,,,,
582,,,,,,
583,,,,,,
584,,,,,,
585,,,,,,
586,,,,,,
587,,,,,,
588,,,,,,
589,,,,,,
590,,,,,,
591,,,,,,
592,,,,,,
593,,,,,,
594,,,,,,
595,,,,,,
596,,,,,,
597,,,,,,
598,,,,,,
599,,,,,,
600,,,,,,
601,,,,,,
602,,,,,,
603,,,,,,
604,,,,,,
605,,,,,,
606,,,,,,
607,,,,,,
608,,,,,,
609,,,,,,
610,,,,,,
611,,,,,,
612,,,,,,
613,,,,,,
614,,,,,,
615,,,,,,
616,,,,,,
617,,,,,,
618,,,,,,
619,,,,,,
620,,,,,,
621,,,,,,
622,,,,,,
623,,,,,,
624,,,,,,
625,,,,,,
626,,,,,,
627,,,,,,
628,,,,,,
629,,,,,,
630,,,,,,
631,,,,,,
632,,,,,,
633,,,,,,
634,,,,,,
635,,,,,,
636,,,,,,
637,,,,,,
638,,,,,,
639,,,,,,
640,,,,,,
641,,,,,,
642,,,,,,
643,,,,,,
644,,,,,,
645,,,,,,
646,,,,,,
647,,,,,,
648,,,,,,
649,,,,,,
650,,,,,,
651,,,,,,
652,,,,,,
653,,,,,,
654,,,,,,
655,,,,,,
656,,,,,,
657,,,,,,
658,,,,,,
659,,,,,,
660,,,,,,
661,,,,,,
662,,,,,,1.0
663,,,,,,1.0
664,,,,,,1.0
665,,,,,,1.0
666,,,,,,1.0
667,,,,,,1.0
668,,,,,,1.0
669,,,,,,1.0
670,,,,,,1.0
671,,,,,,1.0
672,,,,,,1.0
